sms:+44006258110,+44874325847,+13582585729,+52096666882,+64172116046,+55105824112,+22610950428,+78970777815,+19064431979,+56618229280,+90926600901,+34494339480,+06353794632,+31337338327,+98243813102,+18515588765,+85530853155,+68013869950,+23742850432,+81713627067,+11302929264,+16801291099,+02772316052,+51802329429,+67469250050,+33419832534,+45536834897,+73990368720,+86459988805,+77091119304,+91864852843,+15980051315,+69117629094,+78040171839,+56194763069,+57898974503,+85918824140,+02664408609,+80292675422,+68289773404,+76713613130,+37718867777,+60814387555,+36144162653,+58243141052,+52299886706,+32414837433,+37837864991,+76820876245,+12867626188,+37280016389;
sms:+96564151650,+50857727371,+75217984365,+97165892727,+81301765247,+58347436878,+63750980187,+58526840143,+09917899602,+80239890679,+49790885511,+72319314697,+46836809378,+42546775738,+69583296636,+60815795028,+88103568211,+54661254023,+56046507249,+55334506078,+50867078270,+71622782292,+87508020535,+57538113159,+25090184827,+02697524864,+32334052505,+14263084420,+64740726056,+21956384399,+00212926445,+55950162830,+00528391090,+29128267810,+02779190352,+98215017446,+76061106027,+25559436298,+49423823076,+68268952289,+42263934447,+90102449770,+09578392674,+36341308458,+58603929421,+16055800935,+54239573919,+13942176834,+76035554116,+38737758654,+87980406924;
fax:+98797794133,+11302568870,+91101235374,+54791240341,+43274656792,+85524656575,+37486270225,+37424570226,+30094261061,+36991752446,+92311424719,+87099981631,+79702841554,+59291589742,+01377893458,+45186556908,+90516045896,+97389628697,+65865178930,+26015480733,+59699436445,+31563593012,+19141697423,+47243184646,+54504946388,+98326630582,+05690592836,+06338815507,+18360345328,+94478650601,+96646075344,+27183451555,+86111428602,+28109260004,+72061408800,+74302674588,+95222784479,+28852384878,+12497898226,+54483804439,+09527375765,+66878171178,+06735959371,+20979166122,+77450235715,+11495068851,+62936052425,+26735257511,+39506598672,+15513644458,+07101197576;
fax:+65603611528,+35631238480,+32726853598,+67401048714,+42028159324,+00196812430,+79678553186,+01484874681,+32985778890,+69847381025,+24953977468,+05461208147,+02559127600,+72756528127,+50685675448,+95287902866,+27373297464,+31690976497,+74230188470,+03069796293,+29276079630,+28755756089,+03655563577,+29396968107,+37969843365,+41679412104,+48284161746,+82089570377,+45286424100,+44232450428,+07223702462,+04666893343,+30200299445,+91303206205,+26129751128,+62441985680,+31386769607,+55323253566,+80019033810,+46709732501,+78219711007,+44271194164,+14075477749,+36414033811,+27470297487,+30821512936,+54977435222,+29333081074,+38043527597,+62910997051,+45421248684;
fax:+24839579328,+63462424162,+79829547904,+63650909978,+25244836350,+60095069934,+49430685681,+64013631600,+11012820376,+55461391491,+06841198504,+91018878936,+74697782818,+07872696894,+06806888008,+86798246400,+12946918901,+43802116665,+52502310495,+29053009981,+72055473825,+54898903061,+72935873419,+80274514673,+81165959357,+39049219674,+86133316585,+21863966550,+83195440215,+45391447747,+02284085261,+47499247921,+88365269286,+81410946273,+99095498168,+03670377177,+53263652877,+39193862357,+55299033455,+21534146393,+14403741719,+25143661316,+26153978122,+20633903412,+08760631446,+35816967648,+90326691606,+04720705427,+58405679602,+44133154354,+79396878730;
sms:+30362512151,+67499217140,+03317797952,+14221602834,+54081152118,+62830997753,+17065035629,+76294827969,+56063968736,+81261868650,+53246459982,+45895892095,+49686346485,+32473646650,+01564192053,+06697813844,+40546060135,+54017815056,+53278251377,+04280992967,+86063637265,+10447183136,+15876337260,+06102307302,+10759591293,+48823000875,+32894333535,+52745203610,+20633611189,+80481095439,+44849508137,+23535909969,+52621243041,+81943349908,+91894847890,+96890783396,+49439711583,+52406477626,+52269294712,+58254740942,+46905741994,+53753583790,+14336471746,+18384956313,+49801105878,+67816349646,+46649532790,+89175900073,+42440356631,+31055397125,+16860979187;
fax:+39947818631,+12772803464,+03878305573,+59683699810,+71865728342,+42407290823,+11577069796,+96057701071,+93717145715,+33108617869,+88045928292,+71540295980,+65302109962,+56949813650,+59755355462,+81609902588,+18442729290,+38789337344,+22178553956,+92047863469,+69797152177,+03323688345,+00887165167,+47227392480,+69429096090,+77139228670,+07592568408,+54446827927,+65655122387,+93400520065,+91641958198,+10357293252,+48542543318,+51077695576,+52458160216,+90904029131,+75020410046,+21129283577,+11367120547,+83987618098,+94503526564,+59191035300,+48976236587,+02133115461,+56443278055,+34154985655,+30603762580,+14213729355,+10139787010,+68322115354,+85210490313;
tel:+29841173173,+10224159899,+92850263780,+34604221926,+13895076895,+75551813360,+67301655409,+11648686113,+60050474993,+79477428210,+32881842333,+27466427672,+16947350088,+58952039901,+90753622903,+10995351094,+63178966356,+44619370786,+23046908324,+07422128056,+39593001446,+37657524828,+74234387447,+50607466117,+92465740831,+43331234482,+04982681385,+67326508545,+44795139206,+70498675857,+36559524468,+68118313492,+74368797673,+55123852337,+96064139176,+39281571125,+21426640947,+10345080854,+82834761392,+25581153471,+63275398449,+14968010715,+03411662082,+39927249713,+25037116156,+37677802787,+72736643206,+67801584400,+91273705365,+42427648794,+02059418379;
sms:+78953112963,+80727032146,+58774471832,+97692282319,+84717117034,+73452662898,+64991130986,+54826670175,+65189031769,+38730215219,+58587680084,+54292009799,+30958817611,+63567682645,+10330810134,+40898787876,+86304618305,+69402947670,+73327570939,+30165745201,+62945171367,+19210038964,+11795252541,+65231833741,+10372913367,+96754356637,+99326624588,+64220054791,+20743980982,+11576127659,+06491042431,+59865980498,+88427482076,+41794085865,+77608666371,+31368699496,+38385835740,+77406928585,+65493533018,+37654864986,+05282962694,+85556489759,+15929259217,+58948711752,+89783367340,+34102366889,+46506179808,+82377308036,+87464243598,+66564369307,+24317804746;
tel:+54226440984,+50682319866,+68977700427,+38796651100,+08098062252,+58078999916,+70082884967,+09687922621,+47012969396,+52078659075,+36910475902,+76461919605,+42709990661,+74790227671,+02326330253,+88388230387,+02603669875,+43196476347,+60012671587,+56494398995,+73431323395,+77739932316,+20057512062,+94335169805,+32558482409,+33292879128,+49050491926,+38190720880,+07895305616,+42017580096,+93678621755,+13899058127,+64994344434,+40002432706,+56530635991,+68297071804,+80113903917,+56185807719,+84186769482,+02700788260,+68495278753,+04877771555,+36015755240,+99714451340,+22686270923,+56711368302,+61572701624,+83534351915,+61074310503,+60053648266,+41356714624;
tel:+83069815182,+86001756945,+12047244285,+64193719003,+07603534476,+69964779672,+51274129056,+67225222614,+82772730816,+92136718400,+01251593488,+64672922374,+34378755188,+10119579078,+49191671396,+67360403436,+00097665568,+31736479241,+56882212588,+77610468474,+56354706145,+52076331165,+62968545707,+79736193493,+16994737148,+76428428776,+94847250604,+52487923436,+00103618869,+54324051466,+51285593122,+69526831513,+83294651213,+42410196274,+64751706826,+07084062757,+89611487094,+39799030754,+40659583085,+18371196645,+17210734975,+05256653218,+27742456060,+30065949419,+03399303040,+69371344369,+89360891334,+36620059833,+28660414745,+29650176727,+23799106519;
tel:+74544134254,+80220207358,+55185168905,+22491919639,+88722870622,+27192887118,+99153340937,+45362898119,+93756169462,+69594325167,+31398387922,+78188978137,+43349274527,+49135153919,+04954509408,+97375408075,+42180086633,+13698562996,+21334115159,+42658590068,+23867688271,+83215243427,+97931788251,+79173349502,+62838512103,+07767100312,+83537905712,+08718928212,+04274208886,+42682091418,+22027316913,+57952966044,+73922638463,+37397466388,+43685481262,+45825479662,+94577314993,+13237852119,+29012004546,+57838492256,+66660672906,+09355235168,+87199536852,+45208982843,+20221809038,+42363792101,+60129536336,+75288235915,+91817221811,+51531121370,+96381350042;
