tel:+37890473896,+97019238362,+58194066504,+29693593236,+29097150678,+51660852613,+80184735101,+39750075083,+19678230838,+53149045744,+76778470400;
fax:+12834035094,+02043018977,+86695337954,+86331935155,+93520286342,+62699674592,+03429038130,+49178825449,+91815597276,+72670668969,+26793817083;
fax:+67655670741,+36358175674,+30972210343,+88224218058,+70608922789,+56017533462,+18691627555,+23038868720,+41110537648,+26707472035,+28192485593;
tel:+58945559720,+75415379232,+46047777114,+43842285065,+36553335296,+66991517882,+15761163090,+13266010879,+20643317544,+20861336221,+22738993333;
fax:+04672106314,+13000482075,+30033826067,+44151695911,+41913437493,+25568085132,+50469313408,+28005765735,+68620277531,+88963338614,+82090382539;
fax:+57313671296,+84508060433,+82774764373,+67694673886,+74973728479,+40828640655,+42801226297,+95326582115,+06971270621,+26642158923,+84997074510;
sms:+30441802117,+37081770972,+97567146943,+42444285842,+36221168464,+11998466910,+93988420880,+29354466920,+15398505591,+73621319951,+81514381376;
sms:+90942263752,+42931332514,+15739052025,+25302659441,+70778766461,+12369260398,+61903059872,+62483372540,+70138424504,+75077759459,+68239263166;
fax:+43571207967,+07779383190,+01757607739,+50454170135,+91029214733,+92322916243,+47779653827,+73041351701,+59653654182,+31607806989,+01520076840;
tel:+70879277958,+06678580797,+28301533611,+05902942060,+57044410986,+73875197085,+96967876126,+31224236270,+64114617274,+54870493618,+82495726956;
tel:+75275245751,+59298874407,+51575504555,+23580923077,+03155728860,+57307735503,+79804189173,+86396450792,+04964409193,+47090871651,+61305559333;
sms:+06291242686,+57966200258,+90770733866,+78930306731,+63861638650,+06934024635,+43448270925,+95612056095,+19091366726,+14855265809,+99895842689;
tel:+52618175521,+94943549123,+56057154001,+91615474507,+53331504990,+71938605855,+50009485262,+36517166518,+23121784202,+03335072265,+55499708807;
tel:+70933883934,+24133419066,+94998645033,+21866296027,+25456361969,+32699571558,+32311051553,+62271353436,+65279129571,+59619106439,+75992561023;
tel:+18423032617,+43991006973,+50531115959,+24741905751,+40120115527,+89643173741,+89820524397,+51175779040,+86667047421,+17263949127,+76913932319;
tel:+87313048941,+20909702780,+98964327347,+96016802773,+33825427239,+65773822159,+06527603720,+51718063549,+05672700503,+23882196114,+54111634353;
tel:+92074821523,+73479790978,+34150896503,+73265921531,+45092814287,+61850143989,+56371558142,+29403150831,+24461378927,+87995178884,+68167329702;
fax:+29426916899,+75853584757,+63543785969,+56940179539,+40575091126,+41882175749,+76009274340,+96137782343,+15199433360,+02527664116,+47929000542;
